state,district,latitude,longitude,N,P,K,ph,temperature,humidity,rainfall,data_source,crop
Punjab,Ludhiana,30.8624,75.8005,61.78,60.12,74.96,7.22,18.87,30.97,563.98,ICAR_State_Portal,chickpea
Tamil Nadu,Thanjavur,10.849,79.1258,115.67,32.22,35.23,5.26,26.81,79.61,1787.52,ICAR_State_Portal,tea
Punjab,Ludhiana,30.8401,75.7954,92.38,31.39,45.58,7.7,25.7,82.77,1056.27,Kaggle_Curated,jute
Himachal Pradesh,Shimla,31.1138,77.2427,72.62,47.58,36.52,6.49,21.12,83.71,1395.69,ICAR_State_Portal,jute
Maharashtra,Nashik,19.8858,73.9514,21.19,43.63,24.57,6.83,28.32,84.01,631.03,FAO_Consolidated,mungbean
Himachal Pradesh,Shimla,31.1727,77.1444,78.18,33.77,61.74,6.22,19.22,73.52,1784.06,ICAR_State_Portal,jute
Assam,Jorhat,26.6015,94.1354,15.36,52.37,16.62,6.81,31.61,54.18,1115.49,ICAR_State_Portal,pigeonpeas
Karnataka,Dakshina Kannada,12.8126,75.131,34.74,49.68,29.27,7.38,32.33,51.89,1387.13,FAO_Consolidated,mothbeans
Karnataka,Dharwad,15.531,75.2481,81.38,45.57,47.22,6.42,22.34,57.84,671.88,FAO_Consolidated,wheat
Assam,Jorhat,26.6285,94.2936,91.59,34.75,45.84,6.26,22.21,72.18,2170.55,FAO_Consolidated,rice
Karnataka,Shimoga,13.8675,75.6367,93.21,26.46,35.13,5.95,27.69,78.98,1980.33,FAO_Consolidated,tea
Karnataka,Dakshina Kannada,12.8504,75.2736,72.5,32.11,31.86,6.02,25.07,87.62,2771.3,SoilGrids_Augmented,rice
Karnataka,Shimoga,14.0326,75.505,96.0,60.14,59.32,6.98,30.45,70.37,1421.34,FAO_Consolidated,banana
Karnataka,Shimoga,14.0442,75.6528,93.6,24.03,13.37,5.08,23.79,76.92,1957.17,FAO_Consolidated,tea
Tamil Nadu,Thanjavur,10.7385,79.0679,15.7,41.13,8.03,7.53,26.61,50.26,700.25,FAO_Consolidated,mothbeans
Karnataka,Dakshina Kannada,13.0083,75.2025,85.49,53.27,64.75,6.5,29.62,73.65,1885.47,SoilGrids_Augmented,jute
Karnataka,Dakshina Kannada,13.0051,75.2335,115.41,28.72,31.23,4.98,20.91,72.93,2710.44,FAO_Consolidated,tea
Punjab,Ludhiana,30.9316,75.7387,80.35,24.76,35.02,4.27,23.31,84.24,1105.63,SoilGrids_Augmented,tea
Tamil Nadu,Thanjavur,10.8812,79.0441,89.1,68.67,38.04,6.75,30.51,81.12,1439.27,ICAR_State_Portal,jute
Himachal Pradesh,Shimla,31.1484,77.2736,89.39,19.43,37.86,4.94,20.8,77.95,2047.14,SoilGrids_Augmented,tea
Tamil Nadu,Thanjavur,10.8532,79.1425,79.9,41.01,38.88,6.77,28.74,82.2,1928.37,Kaggle_Curated,rice
Tamil Nadu,Thanjavur,10.8353,79.0734,91.23,21.08,43.87,5.06,24.33,78.89,1876.6,FAO_Consolidated,tea
Maharashtra,Nashik,19.8642,73.9572,108.72,22.98,37.97,4.96,22.37,83.01,1704.07,FAO_Consolidated,tea
Karnataka,Shimoga,13.8937,75.7551,72.15,46.91,47.11,5.54,27.12,76.6,1345.57,FAO_Consolidated,jute
Assam,Jorhat,26.8075,94.1772,54.59,33.68,46.4,6.87,21.34,77.93,1959.29,ICAR_State_Portal,jute
Karnataka,Shimoga,13.837,75.7764,19.7,13.95,39.02,7.71,27.33,96.65,1520.43,FAO_Consolidated,pomegranate
Assam,Jorhat,26.6411,94.1371,104.18,48.72,46.09,5.55,19.34,77.26,2053.25,FAO_Consolidated,jute
Assam,Jorhat,26.8653,94.2036,61.37,50.53,41.48,7.01,27.15,77.45,1694.64,ICAR_State_Portal,jute
Karnataka,Dakshina Kannada,12.9608,74.9244,90.24,34.49,33.48,5.21,25.63,82.86,2668.51,FAO_Consolidated,tea
Maharashtra,Nashik,20.0398,73.8925,86.71,46.06,29.91,6.87,26.61,78.08,1093.61,FAO_Consolidated,jute
Maharashtra,Nashik,19.8005,73.803,31.8,42.58,16.4,5.83,32.03,88.21,583.18,Kaggle_Curated,mungbean
Karnataka,Shimoga,14.1062,75.5793,68.14,53.04,43.29,6.87,29.15,77.75,1829.83,ICAR_State_Portal,jute
Punjab,Ludhiana,30.9811,75.9742,72.9,54.6,32.3,6.1,22.28,82.68,1253.16,FAO_Consolidated,jute
Karnataka,Dakshina Kannada,12.8091,75.1136,104.17,37.8,25.17,4.66,19.86,87.87,2516.54,ICAR_State_Portal,tea
Karnataka,Dakshina Kannada,12.9255,74.8915,93.53,29.81,39.67,4.93,20.61,81.72,2634.4,FAO_Consolidated,tea
Karnataka,Dharwad,15.5063,75.1586,109.94,21.81,26.52,5.27,21.93,80.37,1694.07,FAO_Consolidated,tea
Tamil Nadu,Thanjavur,10.7991,79.127,72.65,45.6,33.1,6.68,22.68,43.64,725.14,ICAR_State_Portal,wheat
Maharashtra,Nashik,19.8021,73.8285,63.92,40.7,43.45,6.63,26.53,89.12,1563.64,ICAR_State_Portal,jute
Karnataka,Dharwad,15.5332,75.1552,83.27,47.87,26.02,7.31,27.64,82.2,1789.62,ICAR_State_Portal,jute
Maharashtra,Nashik,19.9039,73.9384,99.69,64.39,41.33,5.88,30.1,77.39,1603.61,ICAR_State_Portal,rice
Tamil Nadu,Thanjavur,10.8901,79.1657,12.98,33.54,21.23,6.9,28.51,53.39,816.36,Kaggle_Curated,mothbeans
Karnataka,Dharwad,15.566,75.2189,103.83,19.5,28.98,5.27,19.96,76.67,1373.03,SoilGrids_Augmented,tea
Karnataka,Dakshina Kannada,12.8129,74.803,108.71,24.25,27.83,4.81,18.56,77.81,2150.19,ICAR_State_Portal,tea
Maharashtra,Nashik,20.0824,73.813,84.79,9.45,35.69,4.55,14.97,78.3,1667.97,ICAR_State_Portal,tea
Himachal Pradesh,Shimla,31.0316,77.2566,114.88,20.07,46.24,4.74,23.03,75.64,1854.42,SoilGrids_Augmented,tea
Punjab,Ludhiana,30.8615,75.706,69.21,43.34,36.99,6.79,20.21,77.86,1089.78,FAO_Consolidated,jute
Karnataka,Shimoga,14.101,75.6187,95.06,24.95,43.13,5.59,20.37,86.17,1387.29,ICAR_State_Portal,tea
Karnataka,Dharwad,15.4901,75.1137,10.33,44.33,11.9,7.18,27.86,63.04,561.79,SoilGrids_Augmented,mothbeans
Assam,Jorhat,26.771,94.2889,62.22,57.89,40.22,6.36,22.97,84.41,2082.99,FAO_Consolidated,jute
Karnataka,Dakshina Kannada,12.9066,74.815,95.56,25.49,33.47,4.89,20.55,85.09,2606.13,Kaggle_Curated,tea
Karnataka,Shimoga,13.8254,75.7453,87.02,56.86,25.66,6.6,30.02,93.26,1658.15,ICAR_State_Portal,jute
Karnataka,Dharwad,15.5788,75.2964,105.35,40.01,46.95,6.09,23.6,78.89,1137.78,Kaggle_Curated,jute
Karnataka,Shimoga,14.0445,75.5832,118.69,25.25,27.91,5.14,18.59,79.61,1617.93,SoilGrids_Augmented,tea
Karnataka,Dharwad,15.4606,75.0913,12.29,47.5,19.5,6.81,28.93,59.11,718.86,Kaggle_Curated,mothbeans
Punjab,Ludhiana,30.9299,75.8273,120.68,24.48,41.71,4.83,18.98,80.01,1387.25,ICAR_State_Portal,tea
Punjab,Ludhiana,30.8226,75.8618,93.98,19.64,18.18,4.97,22.76,69.18,644.61,FAO_Consolidated,tea
Karnataka,Dakshina Kannada,12.8829,75.0204,66.58,38.19,48.98,6.25,24.94,84.45,2246.0,FAO_Consolidated,rice
Karnataka,Dharwad,15.3029,75.0875,21.08,18.18,42.91,6.67,25.52,85.27,820.77,SoilGrids_Augmented,pomegranate
Karnataka,Shimoga,13.8777,75.6096,15.89,41.75,22.51,7.57,22.41,66.66,971.53,ICAR_State_Portal,mothbeans
Karnataka,Dakshina Kannada,13.0637,74.8975,56.93,31.42,33.79,5.91,20.52,81.84,2644.18,FAO_Consolidated,rice
Punjab,Ludhiana,30.8965,75.9934,98.03,23.11,26.36,4.89,20.39,74.21,1729.71,FAO_Consolidated,tea
Tamil Nadu,Thanjavur,10.8035,79.1677,72.25,43.05,46.92,6.94,26.45,82.11,1117.34,ICAR_State_Portal,jute
Karnataka,Shimoga,14.1511,75.6411,112.28,25.7,44.53,5.01,24.89,89.0,2082.04,ICAR_State_Portal,tea
Karnataka,Dakshina Kannada,12.8854,74.819,96.89,17.16,30.2,5.02,20.0,83.04,2031.77,ICAR_State_Portal,tea
Punjab,Ludhiana,30.872,75.7447,25.49,77.12,22.77,5.74,22.89,28.15,1006.05,ICAR_State_Portal,kidneybeans
Karnataka,Shimoga,14.1886,75.6486,79.42,59.58,31.96,5.92,24.12,79.01,2071.68,FAO_Consolidated,jute
Tamil Nadu,Thanjavur,10.8756,79.0612,116.14,17.7,46.26,4.95,22.34,78.43,1582.22,SoilGrids_Augmented,tea
Assam,Jorhat,26.8251,94.1394,17.38,138.42,201.58,5.71,11.4,90.69,1409.53,ICAR_State_Portal,apple
Assam,Jorhat,26.7222,94.2205,58.75,43.24,27.36,5.78,22.92,82.66,1861.42,FAO_Consolidated,jute
Karnataka,Dakshina Kannada,13.0707,74.8187,93.08,24.55,24.25,4.42,16.67,71.81,2194.73,FAO_Consolidated,tea
Punjab,Ludhiana,30.8068,75.9931,58.62,53.15,32.16,5.72,26.29,75.29,1145.79,ICAR_State_Portal,jute
Karnataka,Dharwad,15.5456,75.1138,121.14,18.46,35.07,5.19,19.05,72.45,1337.63,ICAR_State_Portal,tea
Punjab,Ludhiana,30.9664,75.86,20.25,14.3,21.33,6.36,31.35,78.94,780.35,ICAR_State_Portal,pomegranate
Maharashtra,Nashik,19.9598,73.7985,22.01,22.53,37.84,6.2,25.75,89.67,989.7,SoilGrids_Augmented,pomegranate
Maharashtra,Nashik,20.0786,73.8022,14.71,39.72,24.99,7.1,27.75,93.21,487.98,FAO_Consolidated,mungbean
Punjab,Ludhiana,30.9895,75.9119,89.34,49.16,54.42,5.66,33.13,76.66,1087.15,ICAR_State_Portal,rice
Karnataka,Dakshina Kannada,12.898,75.1531,75.49,37.55,53.3,6.77,21.86,75.4,1958.41,SoilGrids_Augmented,jute
Tamil Nadu,Thanjavur,10.8829,79.1343,140.69,27.48,30.81,5.37,25.47,81.4,1898.99,FAO_Consolidated,tea
Maharashtra,Nashik,20.0084,73.8412,97.32,25.15,40.35,5.41,19.58,85.01,1704.53,FAO_Consolidated,tea
Karnataka,Dakshina Kannada,13.0059,74.8352,47.67,36.0,33.77,5.05,27.41,76.77,1963.48,ICAR_State_Portal,rice
Karnataka,Dharwad,15.4673,75.2002,9.91,25.51,33.83,6.75,29.52,95.67,772.73,SoilGrids_Augmented,pomegranate
Maharashtra,Nashik,19.878,73.9679,29.95,131.08,172.61,5.87,10.6,83.1,984.1,Kaggle_Curated,apple
Karnataka,Dharwad,15.4198,75.0795,77.4,47.77,35.25,6.52,28.87,73.88,1670.2,FAO_Consolidated,rice
Assam,Jorhat,26.7147,94.2864,15.62,54.78,21.59,7.53,24.24,65.15,976.8,FAO_Consolidated,mothbeans
Tamil Nadu,Thanjavur,10.7079,79.1859,121.88,27.98,32.01,5.08,25.95,73.16,2139.44,FAO_Consolidated,tea
Tamil Nadu,Thanjavur,10.8209,79.1679,16.44,129.68,216.41,7.43,26.77,87.47,771.43,FAO_Consolidated,grapes
Maharashtra,Nashik,19.8216,73.8082,73.99,27.17,42.74,4.34,21.67,89.96,1330.31,ICAR_State_Portal,tea
Karnataka,Dharwad,15.5399,75.2728,19.92,22.24,27.87,5.74,23.86,97.33,1147.39,SoilGrids_Augmented,coconut
Karnataka,Dharwad,15.3424,75.2439,102.28,33.29,25.95,4.57,24.03,79.25,1297.31,ICAR_State_Portal,tea
Maharashtra,Nashik,19.8095,73.9702,81.91,44.89,46.54,5.91,25.19,77.8,1226.75,FAO_Consolidated,jute
Karnataka,Shimoga,13.8485,75.7045,132.16,15.49,17.57,5.54,19.41,80.69,2080.32,SoilGrids_Augmented,tea
Tamil Nadu,Thanjavur,10.8742,79.044,120.89,28.78,27.83,5.14,15.52,74.3,1487.48,ICAR_State_Portal,tea
Karnataka,Dakshina Kannada,13.0245,75.1716,124.19,25.5,40.8,4.67,17.48,84.11,2725.69,FAO_Consolidated,tea
Karnataka,Dharwad,15.4803,75.2879,71.69,39.69,33.67,6.2,23.83,85.06,1218.68,FAO_Consolidated,jute
Maharashtra,Nashik,19.873,73.9849,85.48,51.32,36.63,7.65,29.95,72.77,1427.8,ICAR_State_Portal,jute
Assam,Jorhat,26.6594,94.1106,106.74,20.3,31.44,4.26,19.35,74.02,2254.94,ICAR_State_Portal,tea
Karnataka,Dakshina Kannada,13.078,75.0372,25.01,135.69,211.44,6.39,16.55,78.59,1964.33,ICAR_State_Portal,apple
Himachal Pradesh,Shimla,31.012,77.159,92.04,41.06,37.47,7.08,23.56,71.55,1517.82,FAO_Consolidated,jute
Punjab,Ludhiana,30.9428,75.9565,29.08,54.31,16.23,5.82,22.34,82.64,700.28,ICAR_State_Portal,mungbean
Karnataka,Shimoga,14.0566,75.623,14.39,43.07,16.17,6.91,25.96,76.09,980.78,FAO_Consolidated,mungbean
Himachal Pradesh,Shimla,31.038,77.2315,98.99,25.03,41.36,5.09,17.42,77.43,1737.39,ICAR_State_Portal,tea
Karnataka,Dharwad,15.3522,75.25,89.61,23.81,47.78,6.54,28.54,84.5,1599.71,ICAR_State_Portal,rice
Karnataka,Dakshina Kannada,13.0986,75.1329,88.55,49.58,27.63,6.76,18.71,80.05,2428.79,FAO_Consolidated,jute
Tamil Nadu,Thanjavur,10.7024,79.1474,71.29,46.52,35.87,6.19,27.63,78.3,1407.49,FAO_Consolidated,jute
Punjab,Ludhiana,30.9226,75.7433,24.18,17.33,43.88,6.32,24.34,86.84,698.33,FAO_Consolidated,pomegranate
Tamil Nadu,Thanjavur,10.8507,79.1114,116.56,22.42,33.94,4.92,19.33,86.97,1637.93,FAO_Consolidated,tea
Maharashtra,Nashik,20.0605,73.8852,100.56,21.03,43.49,4.97,22.97,80.59,1447.36,FAO_Consolidated,tea
Karnataka,Dakshina Kannada,12.9615,75.0482,103.76,34.39,32.45,6.35,24.01,75.24,2044.63,ICAR_State_Portal,jute
Karnataka,Shimoga,14.0941,75.4343,88.19,59.84,38.1,6.79,30.78,75.53,2016.38,ICAR_State_Portal,jute
Assam,Jorhat,26.886,94.2471,68.77,43.04,34.05,6.83,25.0,73.84,1682.6,ICAR_State_Portal,jute
Maharashtra,Nashik,20.0891,73.7632,49.54,43.54,44.7,6.64,17.65,83.93,1495.54,ICAR_State_Portal,jute
Karnataka,Dharwad,15.5458,75.2686,14.17,27.05,41.02,6.83,33.06,56.96,997.88,ICAR_State_Portal,mango
Maharashtra,Nashik,19.9713,73.9755,94.06,56.24,32.93,5.68,25.08,80.14,1950.13,SoilGrids_Augmented,rice
Himachal Pradesh,Shimla,31.1653,77.1107,110.57,25.68,35.71,5.31,22.33,75.95,1718.39,FAO_Consolidated,tea
Punjab,Ludhiana,30.856,75.8989,74.82,58.31,38.53,6.54,27.27,82.65,1300.99,ICAR_State_Portal,jute
Karnataka,Shimoga,14.1992,75.6458,6.55,24.73,47.6,7.21,27.25,93.98,1339.13,Kaggle_Curated,pomegranate
Karnataka,Shimoga,14.0972,75.518,89.64,39.96,41.62,6.73,24.49,92.74,1607.27,FAO_Consolidated,rice
Maharashtra,Nashik,19.8806,73.7005,130.06,26.44,23.67,6.82,32.89,61.64,819.73,ICAR_State_Portal,cotton
Karnataka,Shimoga,14.0547,75.4533,21.21,123.13,182.14,5.63,11.9,86.37,1437.09,FAO_Consolidated,apple
Karnataka,Dharwad,15.4372,75.2684,77.67,64.39,45.95,5.37,27.01,79.84,1527.07,ICAR_State_Portal,rice
Tamil Nadu,Thanjavur,10.7869,79.1568,102.11,20.76,32.97,5.54,29.38,85.51,1473.16,FAO_Consolidated,tea
Karnataka,Dakshina Kannada,12.9445,75.1796,14.8,58.46,18.67,6.39,28.04,95.41,1271.58,FAO_Consolidated,mungbean
Assam,Jorhat,26.7715,94.1822,30.92,17.81,28.28,5.82,28.06,95.85,2100.8,SoilGrids_Augmented,coconut
Punjab,Ludhiana,30.9366,75.8786,81.47,19.87,29.59,6.94,21.68,77.7,665.88,Kaggle_Curated,watermelon
Karnataka,Shimoga,13.8868,75.5233,106.86,20.6,42.66,4.3,21.1,74.06,2663.24,FAO_Consolidated,tea
Tamil Nadu,Thanjavur,10.8195,79.0867,93.42,33.31,36.82,5.59,21.44,78.89,1557.8,FAO_Consolidated,jute
Assam,Jorhat,26.8773,94.2815,122.58,27.09,32.0,4.66,18.33,84.83,1902.73,SoilGrids_Augmented,tea
Punjab,Ludhiana,30.8067,75.7507,123.73,24.93,40.97,4.49,21.06,86.54,1573.43,FAO_Consolidated,tea
Punjab,Ludhiana,30.8639,75.713,56.61,50.19,46.68,7.36,28.52,82.59,1081.08,FAO_Consolidated,jute
Himachal Pradesh,Shimla,31.155,77.2941,31.51,80.22,183.02,6.3,24.94,75.56,807.59,ICAR_State_Portal,grapes
Karnataka,Dakshina Kannada,12.834,75.1439,78.51,43.38,36.56,7.77,17.77,80.48,1669.63,ICAR_State_Portal,jute
Maharashtra,Nashik,19.8446,73.8729,107.72,8.98,60.75,6.78,30.16,86.7,659.22,ICAR_State_Portal,watermelon
Punjab,Ludhiana,30.8832,75.8808,16.63,51.82,19.55,6.85,26.61,56.55,578.12,FAO_Consolidated,lentil
Karnataka,Dharwad,15.3207,75.1447,57.82,30.11,33.88,7.38,24.07,86.1,1331.45,SoilGrids_Augmented,rice
Karnataka,Dharwad,15.3172,75.2497,91.71,30.37,40.45,5.23,27.35,89.18,1636.19,ICAR_State_Portal,tea
Assam,Jorhat,26.8121,94.2362,121.72,31.93,32.79,5.25,19.05,79.79,2303.18,FAO_Consolidated,tea
Punjab,Ludhiana,30.9152,75.9001,138.64,26.83,28.24,4.62,26.3,84.65,1452.05,FAO_Consolidated,tea
Maharashtra,Nashik,19.9046,73.8813,61.53,56.47,33.35,6.36,22.87,80.98,1311.5,SoilGrids_Augmented,jute
Assam,Jorhat,26.6305,94.2842,143.1,34.5,30.34,5.47,21.32,77.37,2529.36,ICAR_State_Portal,tea
Himachal Pradesh,Shimla,31.0039,77.1355,80.0,38.07,23.18,6.44,22.43,80.45,1555.53,ICAR_State_Portal,jute
Assam,Jorhat,26.8933,94.2634,14.72,22.26,47.57,6.92,23.14,83.41,1150.42,ICAR_State_Portal,pomegranate
Karnataka,Dharwad,15.3939,75.2085,77.57,53.21,55.46,6.56,24.13,80.1,1228.35,ICAR_State_Portal,jute
Karnataka,Shimoga,13.975,75.4228,15.63,50.4,22.71,7.22,28.96,54.02,948.26,FAO_Consolidated,mothbeans
Himachal Pradesh,Shimla,31.0267,77.2199,24.24,16.95,28.47,6.66,19.84,90.81,1133.62,FAO_Consolidated,pomegranate
Karnataka,Dakshina Kannada,12.9754,75.1097,21.68,70.55,22.02,7.01,30.69,46.62,1411.65,ICAR_State_Portal,pigeonpeas
Karnataka,Shimoga,13.8766,75.4275,137.54,21.64,42.68,5.25,22.12,76.71,1958.85,Kaggle_Curated,tea
Karnataka,Dakshina Kannada,12.9443,75.0753,89.71,42.31,29.44,7.45,26.3,80.53,2280.0,FAO_Consolidated,jute
Tamil Nadu,Thanjavur,10.8018,79.1409,115.52,23.62,38.49,5.33,26.4,78.2,1757.5,ICAR_State_Portal,tea
Himachal Pradesh,Shimla,31.1752,77.1193,93.89,38.18,41.91,6.14,21.41,82.26,1948.87,FAO_Consolidated,rice
Assam,Jorhat,26.7025,94.1876,22.88,139.01,201.72,6.53,24.71,79.74,1264.12,Kaggle_Curated,grapes
Himachal Pradesh,Shimla,31.1946,77.246,105.31,22.34,30.24,4.3,19.21,78.9,1811.98,ICAR_State_Portal,tea
Tamil Nadu,Thanjavur,10.7254,79.1528,74.77,60.44,59.67,6.44,29.48,81.42,1833.51,ICAR_State_Portal,jute
Maharashtra,Nashik,19.8621,73.9244,74.32,60.96,49.75,7.16,26.9,76.21,1050.23,FAO_Consolidated,jute
Maharashtra,Nashik,19.8071,73.8705,93.2,44.75,38.36,6.48,24.39,72.81,1567.98,ICAR_State_Portal,jute
Karnataka,Shimoga,14.0775,75.4659,115.65,34.77,30.66,4.67,25.24,78.59,2193.58,ICAR_State_Portal,tea
Punjab,Ludhiana,30.9953,75.9596,93.61,43.71,41.34,4.87,26.71,84.75,1422.27,FAO_Consolidated,rice
Assam,Jorhat,26.7994,94.2137,73.88,61.79,34.28,7.94,25.74,85.73,2165.53,FAO_Consolidated,jute
Maharashtra,Nashik,20.0259,73.9536,74.26,45.37,36.93,6.76,20.08,52.02,773.61,FAO_Consolidated,wheat
Punjab,Ludhiana,30.9222,75.773,95.34,58.21,38.1,6.25,21.58,75.48,1130.3,ICAR_State_Portal,jute
Karnataka,Dakshina Kannada,12.8119,75.0886,66.41,49.68,43.71,7.06,32.4,83.2,2114.81,FAO_Consolidated,jute
Karnataka,Dakshina Kannada,12.9347,74.8113,63.07,30.08,43.36,7.93,23.69,80.38,2213.83,ICAR_State_Portal,jute
Assam,Jorhat,26.765,94.1861,116.19,34.61,39.4,5.01,19.31,82.83,2636.2,SoilGrids_Augmented,tea
Maharashtra,Nashik,20.0996,73.7862,93.62,23.65,31.62,4.98,15.36,78.6,1065.83,Kaggle_Curated,tea
Karnataka,Shimoga,14.1382,75.794,73.67,50.85,33.68,7.85,21.09,72.64,1885.92,Kaggle_Curated,jute
Karnataka,Dakshina Kannada,12.8009,74.9842,112.06,20.25,21.38,4.59,23.6,85.16,2598.24,FAO_Consolidated,tea
Maharashtra,Nashik,19.9528,73.9332,117.59,32.02,28.21,4.03,22.24,71.89,1868.18,Kaggle_Curated,tea
Assam,Jorhat,26.6962,94.1791,21.02,56.27,15.39,7.54,27.72,90.67,1343.02,ICAR_State_Portal,mungbean
Himachal Pradesh,Shimla,31.073,77.2001,68.54,50.92,34.76,6.77,21.28,78.24,1643.75,ICAR_State_Portal,jute
Maharashtra,Nashik,20.0274,73.8296,23.27,16.78,31.83,5.91,26.46,93.52,1502.58,FAO_Consolidated,coconut
Maharashtra,Nashik,19.9928,73.7623,15.49,57.83,17.94,7.07,20.4,65.06,658.64,FAO_Consolidated,lentil
Karnataka,Shimoga,14.183,75.5294,88.1,53.27,28.31,5.52,20.75,68.25,1159.54,FAO_Consolidated,maize
Tamil Nadu,Thanjavur,10.8653,79.1113,10.79,15.43,32.87,6.22,22.4,95.9,939.81,SoilGrids_Augmented,pomegranate
Punjab,Ludhiana,30.9226,75.8736,82.84,41.99,32.75,5.98,23.56,73.37,1098.24,ICAR_State_Portal,jute
Punjab,Ludhiana,30.969,75.7421,134.09,24.52,41.88,4.78,26.0,83.05,1567.22,ICAR_State_Portal,tea
Himachal Pradesh,Shimla,31.1199,77.197,25.72,41.55,15.74,7.55,25.27,46.92,725.17,FAO_Consolidated,mothbeans
Tamil Nadu,Thanjavur,10.7949,79.012,60.83,50.51,47.93,7.52,22.69,77.36,1612.42,FAO_Consolidated,jute
Karnataka,Shimoga,13.9089,75.6063,69.8,41.25,29.71,7.61,23.98,81.26,1486.33,Kaggle_Curated,jute
Maharashtra,Nashik,20.0759,73.9963,10.95,17.14,23.65,5.78,24.95,97.36,822.59,SoilGrids_Augmented,coconut
Karnataka,Dharwad,15.3107,75.2246,100.44,54.59,35.71,8.1,23.68,84.01,1051.72,ICAR_State_Portal,jute
Karnataka,Shimoga,13.9564,75.602,108.58,25.81,38.26,4.96,22.18,81.41,1357.16,ICAR_State_Portal,tea
Tamil Nadu,Thanjavur,10.8202,79.128,103.03,28.48,42.06,4.85,27.68,78.51,2029.11,ICAR_State_Portal,tea
Maharashtra,Nashik,19.9487,73.9474,104.48,46.84,34.44,7.45,25.83,79.21,1215.94,FAO_Consolidated,jute
Himachal Pradesh,Shimla,31.0834,77.2723,73.41,45.89,37.92,7.23,24.86,80.24,1505.39,FAO_Consolidated,jute
Maharashtra,Nashik,19.8035,73.9173,52.03,39.07,53.73,6.04,26.31,84.73,1508.33,FAO_Consolidated,jute
Maharashtra,Nashik,20.0915,73.7247,85.31,50.04,32.89,6.94,30.43,78.25,1587.75,FAO_Consolidated,jute
Karnataka,Dharwad,15.5519,75.1512,9.58,48.47,17.53,5.87,26.72,58.77,596.56,Kaggle_Curated,mothbeans
