State,District,N,P,K,pH,Temperature,Humidity,Rainfall,Crop,Source
National Benchmark,Benchmark,95.0,52.0,36.0,5.54,26.23,83.84,286.51,rice,Kaggle Benchmark
National Benchmark,Benchmark,75.0,38.0,39.0,6.22,23.45,84.79,283.93,rice,Kaggle Benchmark
National Benchmark,Benchmark,74.0,54.0,38.0,7.12,25.66,83.47,217.38,rice,Kaggle Benchmark
National Benchmark,Benchmark,91.0,36.0,45.0,5.95,24.44,82.45,267.98,rice,Kaggle Benchmark
National Benchmark,Benchmark,71.0,46.0,40.0,7.24,20.28,82.12,191.95,rice,Kaggle Benchmark
National Benchmark,Benchmark,99.0,55.0,35.0,6.5,21.72,80.24,277.96,rice,Kaggle Benchmark
National Benchmark,Benchmark,72.0,40.0,38.0,7.59,20.41,82.21,245.15,rice,Kaggle Benchmark
National Benchmark,Benchmark,83.0,58.0,45.0,5.88,25.76,83.52,245.66,rice,Kaggle Benchmark
National Benchmark,Benchmark,93.0,58.0,38.0,6.93,20.62,83.77,279.55,rice,Kaggle Benchmark
National Benchmark,Benchmark,70.0,36.0,42.0,6.95,21.84,80.73,202.38,rice,Kaggle Benchmark
National Benchmark,Benchmark,76.0,47.0,42.0,5.74,20.08,83.29,263.64,rice,Kaggle Benchmark
National Benchmark,Benchmark,99.0,41.0,36.0,6.74,24.46,82.75,182.56,rice,Kaggle Benchmark
National Benchmark,Benchmark,99.0,54.0,37.0,5.59,21.14,80.34,198.67,rice,Kaggle Benchmark
National Benchmark,Benchmark,86.0,59.0,35.0,6.95,25.79,82.11,243.51,rice,Kaggle Benchmark
National Benchmark,Benchmark,69.0,46.0,41.0,5.01,23.64,80.29,263.11,rice,Kaggle Benchmark
National Benchmark,Benchmark,91.0,56.0,37.0,6.36,23.43,80.57,269.5,rice,Kaggle Benchmark
National Benchmark,Benchmark,61.0,52.0,41.0,6.88,24.98,83.89,204.8,rice,Kaggle Benchmark
National Benchmark,Benchmark,67.0,45.0,38.0,7.3,22.73,82.17,260.89,rice,Kaggle Benchmark
National Benchmark,Benchmark,79.0,42.0,37.0,6.59,24.87,82.84,295.61,rice,Kaggle Benchmark
National Benchmark,Benchmark,78.0,43.0,42.0,7.28,21.32,83.0,192.32,rice,Kaggle Benchmark
National Benchmark,Benchmark,75.0,54.0,36.0,7.02,26.29,84.57,257.49,rice,Kaggle Benchmark
National Benchmark,Benchmark,97.0,36.0,45.0,6.94,22.23,81.86,278.08,rice,Kaggle Benchmark
National Benchmark,Benchmark,67.0,47.0,44.0,7.87,26.73,81.79,280.4,rice,Kaggle Benchmark
National Benchmark,Benchmark,73.0,35.0,38.0,5.01,24.89,81.98,185.95,rice,Kaggle Benchmark
National Benchmark,Benchmark,77.0,36.0,37.0,6.14,26.88,81.46,194.58,rice,Kaggle Benchmark
National Benchmark,Benchmark,81.0,41.0,38.0,7.52,22.68,83.73,200.91,rice,Kaggle Benchmark
National Benchmark,Benchmark,68.0,57.0,43.0,5.71,26.09,80.38,182.9,rice,Kaggle Benchmark
National Benchmark,Benchmark,72.0,45.0,35.0,5.76,25.43,82.95,195.36,rice,Kaggle Benchmark
National Benchmark,Benchmark,61.0,53.0,43.0,6.35,26.4,81.06,223.37,rice,Kaggle Benchmark
National Benchmark,Benchmark,67.0,43.0,39.0,6.0,26.04,84.97,186.75,rice,Kaggle Benchmark
National Benchmark,Benchmark,67.0,58.0,39.0,5.45,25.28,80.54,220.12,rice,Kaggle Benchmark
National Benchmark,Benchmark,66.0,60.0,38.0,6.37,22.09,83.47,231.74,rice,Kaggle Benchmark
National Benchmark,Benchmark,82.0,43.0,38.0,5.11,23.29,81.43,242.32,rice,Kaggle Benchmark
National Benchmark,Benchmark,84.0,50.0,44.0,5.94,25.49,81.41,182.65,rice,Kaggle Benchmark
National Benchmark,Benchmark,81.0,53.0,42.0,5.18,23.68,81.04,233.7,rice,Kaggle Benchmark
National Benchmark,Benchmark,91.0,50.0,40.0,6.46,20.82,84.13,230.22,rice,Kaggle Benchmark
National Benchmark,Benchmark,93.0,53.0,38.0,7.07,26.93,81.91,290.68,rice,Kaggle Benchmark
National Benchmark,Benchmark,90.0,44.0,38.0,7.47,23.84,83.88,241.2,rice,Kaggle Benchmark
National Benchmark,Benchmark,81.0,45.0,35.0,6.16,26.53,80.12,218.92,rice,Kaggle Benchmark
National Benchmark,Benchmark,78.0,40.0,38.0,7.55,26.46,83.86,248.23,rice,Kaggle Benchmark
National Benchmark,Benchmark,60.0,51.0,36.0,6.03,22.7,82.81,257.0,rice,Kaggle Benchmark
National Benchmark,Benchmark,88.0,46.0,42.0,6.6,22.68,83.46,194.27,rice,Kaggle Benchmark
National Benchmark,Benchmark,93.0,47.0,37.0,6.5,21.53,82.14,295.92,rice,Kaggle Benchmark
National Benchmark,Benchmark,60.0,55.0,45.0,5.94,21.41,83.33,287.58,rice,Kaggle Benchmark
National Benchmark,Benchmark,78.0,35.0,44.0,7.07,26.54,84.67,183.62,rice,Kaggle Benchmark
National Benchmark,Benchmark,65.0,37.0,40.0,5.33,23.36,83.6,188.41,rice,Kaggle Benchmark
National Benchmark,Benchmark,71.0,54.0,16.0,5.75,22.61,63.69,87.76,maize,Kaggle Benchmark
National Benchmark,Benchmark,61.0,44.0,17.0,6.93,26.1,71.57,102.27,maize,Kaggle Benchmark
National Benchmark,Benchmark,80.0,43.0,16.0,6.66,23.56,71.59,66.72,maize,Kaggle Benchmark
National Benchmark,Benchmark,73.0,58.0,21.0,6.6,19.97,57.68,60.65,maize,Kaggle Benchmark
National Benchmark,Benchmark,61.0,38.0,20.0,5.97,18.48,62.7,65.44,maize,Kaggle Benchmark
National Benchmark,Benchmark,68.0,41.0,16.0,6.16,21.78,57.81,102.09,maize,Kaggle Benchmark
National Benchmark,Benchmark,93.0,41.0,17.0,6.05,25.62,66.5,105.47,maize,Kaggle Benchmark
National Benchmark,Benchmark,89.0,60.0,19.0,5.91,25.19,66.69,78.07,maize,Kaggle Benchmark
National Benchmark,Benchmark,76.0,44.0,17.0,5.86,20.42,62.55,65.28,maize,Kaggle Benchmark
National Benchmark,Benchmark,67.0,60.0,25.0,5.75,24.92,66.79,109.22,maize,Kaggle Benchmark
National Benchmark,Benchmark,70.0,44.0,19.0,5.85,23.32,73.45,94.3,maize,Kaggle Benchmark
National Benchmark,Benchmark,90.0,49.0,21.0,6.47,24.84,68.36,74.05,maize,Kaggle Benchmark
National Benchmark,Benchmark,62.0,52.0,16.0,6.97,22.28,58.84,63.87,maize,Kaggle Benchmark
National Benchmark,Benchmark,92.0,44.0,16.0,6.08,18.88,65.77,94.76,maize,Kaggle Benchmark
National Benchmark,Benchmark,66.0,54.0,21.0,5.92,25.19,60.2,72.12,maize,Kaggle Benchmark
National Benchmark,Benchmark,63.0,58.0,22.0,6.2,18.25,55.28,63.72,maize,Kaggle Benchmark
National Benchmark,Benchmark,70.0,47.0,17.0,6.6,24.61,70.42,104.16,maize,Kaggle Benchmark
National Benchmark,Benchmark,61.0,41.0,17.0,6.02,25.14,65.26,76.68,maize,Kaggle Benchmark
National Benchmark,Benchmark,66.0,53.0,19.0,6.03,23.09,60.12,65.5,maize,Kaggle Benchmark
National Benchmark,Benchmark,74.0,55.0,19.0,6.29,18.05,62.89,84.24,maize,Kaggle Benchmark
National Benchmark,Benchmark,77.0,57.0,21.0,6.55,24.93,73.8,79.74,maize,Kaggle Benchmark
National Benchmark,Benchmark,99.0,50.0,15.0,5.57,18.15,71.09,88.08,maize,Kaggle Benchmark
National Benchmark,Benchmark,74.0,56.0,22.0,6.83,18.28,66.66,80.98,maize,Kaggle Benchmark
National Benchmark,Benchmark,83.0,45.0,21.0,5.72,18.83,58.75,79.75,maize,Kaggle Benchmark
National Benchmark,Benchmark,100.0,48.0,16.0,5.55,25.72,67.22,74.51,maize,Kaggle Benchmark
National Benchmark,Benchmark,79.0,51.0,16.0,6.59,25.34,68.5,96.46,maize,Kaggle Benchmark
National Benchmark,Benchmark,94.0,39.0,18.0,5.89,23.89,57.49,102.83,maize,Kaggle Benchmark
National Benchmark,Benchmark,75.0,49.0,15.0,5.92,21.54,71.51,102.49,maize,Kaggle Benchmark
National Benchmark,Benchmark,78.0,48.0,22.0,5.59,23.09,63.1,70.43,maize,Kaggle Benchmark
National Benchmark,Benchmark,87.0,54.0,20.0,6.58,25.62,63.47,108.83,maize,Kaggle Benchmark
National Benchmark,Benchmark,87.0,35.0,25.0,6.18,21.45,63.16,65.89,maize,Kaggle Benchmark
National Benchmark,Benchmark,63.0,43.0,19.0,6.64,18.52,55.53,90.99,maize,Kaggle Benchmark
National Benchmark,Benchmark,84.0,57.0,25.0,6.49,22.54,67.99,64.41,maize,Kaggle Benchmark
National Benchmark,Benchmark,64.0,35.0,23.0,5.68,23.02,61.89,63.04,maize,Kaggle Benchmark
National Benchmark,Benchmark,60.0,46.0,22.0,6.63,24.89,65.61,87.93,maize,Kaggle Benchmark
National Benchmark,Benchmark,98.0,44.0,21.0,6.52,25.77,74.09,107.49,maize,Kaggle Benchmark
National Benchmark,Benchmark,75.0,56.0,18.0,5.7,19.4,62.36,60.95,maize,Kaggle Benchmark
National Benchmark,Benchmark,86.0,55.0,21.0,6.8,21.54,59.64,109.75,maize,Kaggle Benchmark
National Benchmark,Benchmark,98.0,35.0,18.0,6.25,23.8,74.83,91.76,maize,Kaggle Benchmark
National Benchmark,Benchmark,76.0,57.0,18.0,6.09,18.98,74.53,94.26,maize,Kaggle Benchmark
National Benchmark,Benchmark,99.0,56.0,17.0,6.23,24.11,73.13,71.08,maize,Kaggle Benchmark
National Benchmark,Benchmark,60.0,44.0,23.0,5.72,24.79,70.05,76.73,maize,Kaggle Benchmark
National Benchmark,Benchmark,74.0,48.0,17.0,6.43,21.63,60.28,69.22,maize,Kaggle Benchmark
National Benchmark,Benchmark,89.0,60.0,17.0,5.98,25.38,57.21,101.7,maize,Kaggle Benchmark
National Benchmark,Benchmark,69.0,51.0,23.0,6.8,22.22,72.85,106.62,maize,Kaggle Benchmark
National Benchmark,Benchmark,96.0,46.0,22.0,6.5,20.58,69.0,66.29,maize,Kaggle Benchmark
National Benchmark,Benchmark,61.0,60.0,15.0,6.27,24.88,68.74,91.26,maize,Kaggle Benchmark
National Benchmark,Benchmark,74.0,58.0,18.0,6.73,20.04,56.36,109.02,maize,Kaggle Benchmark
National Benchmark,Benchmark,74.0,43.0,23.0,6.33,25.95,61.89,99.58,maize,Kaggle Benchmark
National Benchmark,Benchmark,63.0,43.0,17.0,6.81,19.29,65.47,71.32,maize,Kaggle Benchmark
National Benchmark,Benchmark,99.0,36.0,20.0,6.67,20.58,65.35,78.35,maize,Kaggle Benchmark
National Benchmark,Benchmark,77.0,36.0,23.0,6.65,24.71,56.73,88.45,maize,Kaggle Benchmark
National Benchmark,Benchmark,87.0,60.0,23.0,6.44,20.27,63.91,62.5,maize,Kaggle Benchmark
National Benchmark,Benchmark,60.0,38.0,17.0,6.47,18.42,64.24,76.41,maize,Kaggle Benchmark
National Benchmark,Benchmark,94.0,54.0,17.0,5.87,23.39,61.74,107.32,maize,Kaggle Benchmark
National Benchmark,Benchmark,95.0,38.0,22.0,5.73,19.85,61.25,100.77,maize,Kaggle Benchmark
National Benchmark,Benchmark,84.0,44.0,21.0,5.85,21.87,61.91,107.27,maize,Kaggle Benchmark
National Benchmark,Benchmark,77.0,58.0,19.0,5.79,22.81,56.51,101.6,maize,Kaggle Benchmark
National Benchmark,Benchmark,66.0,44.0,20.0,6.74,19.08,69.02,80.73,maize,Kaggle Benchmark
National Benchmark,Benchmark,63.0,35.0,16.0,6.27,22.03,65.36,83.73,maize,Kaggle Benchmark
National Benchmark,Benchmark,79.0,45.0,20.0,5.72,23.81,59.25,89.96,maize,Kaggle Benchmark
National Benchmark,Benchmark,72.0,60.0,25.0,5.77,18.53,69.03,88.1,maize,Kaggle Benchmark
National Benchmark,Benchmark,67.0,51.0,24.0,5.58,23.5,61.32,64.78,maize,Kaggle Benchmark
National Benchmark,Benchmark,86.0,36.0,24.0,5.79,26.55,72.89,73.34,maize,Kaggle Benchmark
National Benchmark,Benchmark,76.0,48.0,18.0,5.78,19.3,69.63,83.21,maize,Kaggle Benchmark
National Benchmark,Benchmark,75.0,53.0,18.0,6.86,20.69,59.44,103.65,maize,Kaggle Benchmark
National Benchmark,Benchmark,81.0,45.0,23.0,6.19,19.33,68.03,84.23,maize,Kaggle Benchmark
National Benchmark,Benchmark,73.0,45.0,21.0,6.64,24.61,73.59,96.59,maize,Kaggle Benchmark
National Benchmark,Benchmark,71.0,35.0,24.0,5.83,22.27,59.52,67.97,maize,Kaggle Benchmark
National Benchmark,Benchmark,96.0,54.0,22.0,6.96,25.7,61.33,83.21,maize,Kaggle Benchmark
National Benchmark,Benchmark,99.0,39.0,18.0,6.11,19.2,68.31,87.85,maize,Kaggle Benchmark
National Benchmark,Benchmark,62.0,48.0,20.0,6.71,21.7,60.47,95.71,maize,Kaggle Benchmark
National Benchmark,Benchmark,86.0,37.0,16.0,5.56,20.52,59.21,67.61,maize,Kaggle Benchmark
National Benchmark,Benchmark,94.0,50.0,19.0,5.87,23.3,73.63,97.59,maize,Kaggle Benchmark
National Benchmark,Benchmark,76.0,39.0,24.0,7.0,24.25,55.65,64.24,maize,Kaggle Benchmark
National Benchmark,Benchmark,77.0,52.0,17.0,5.71,24.86,65.74,75.82,maize,Kaggle Benchmark
National Benchmark,Benchmark,74.0,39.0,23.0,6.78,22.63,65.77,88.17,maize,Kaggle Benchmark
National Benchmark,Benchmark,81.0,49.0,20.0,5.51,18.04,60.61,104.23,maize,Kaggle Benchmark
National Benchmark,Benchmark,63.0,42.0,21.0,5.8,23.26,72.33,67.1,maize,Kaggle Benchmark
National Benchmark,Benchmark,99.0,38.0,21.0,6.35,22.88,71.6,67.73,maize,Kaggle Benchmark
National Benchmark,Benchmark,90.0,52.0,25.0,6.82,25.97,69.36,103.22,maize,Kaggle Benchmark
National Benchmark,Benchmark,68.0,40.0,19.0,6.66,26.14,66.21,107.24,maize,Kaggle Benchmark
National Benchmark,Benchmark,60.0,57.0,24.0,6.12,18.66,61.55,75.03,maize,Kaggle Benchmark
National Benchmark,Benchmark,71.0,52.0,18.0,5.79,25.11,55.98,78.16,maize,Kaggle Benchmark
National Benchmark,Benchmark,61.0,59.0,17.0,6.47,23.34,59.25,105.01,maize,Kaggle Benchmark
National Benchmark,Benchmark,88.0,38.0,15.0,6.46,25.08,65.92,62.49,maize,Kaggle Benchmark
National Benchmark,Benchmark,65.0,60.0,22.0,6.61,25.37,72.52,107.91,maize,Kaggle Benchmark
National Benchmark,Benchmark,78.0,37.0,22.0,6.33,25.34,63.32,74.52,maize,Kaggle Benchmark
National Benchmark,Benchmark,78.0,58.0,15.0,6.53,25.01,67.82,62.91,maize,Kaggle Benchmark
National Benchmark,Benchmark,92.0,60.0,23.0,5.72,18.67,71.52,69.93,maize,Kaggle Benchmark
National Benchmark,Benchmark,79.0,59.0,17.0,6.64,20.38,63.74,108.51,maize,Kaggle Benchmark
National Benchmark,Benchmark,91.0,55.0,15.0,6.38,18.09,72.61,78.96,maize,Kaggle Benchmark
National Benchmark,Benchmark,76.0,51.0,18.0,6.25,26.17,71.96,79.85,maize,Kaggle Benchmark
National Benchmark,Benchmark,87.0,48.0,25.0,6.66,18.65,61.38,93.62,maize,Kaggle Benchmark
National Benchmark,Benchmark,71.0,60.0,22.0,6.2,26.07,59.37,85.76,maize,Kaggle Benchmark
National Benchmark,Benchmark,90.0,57.0,24.0,6.16,18.93,72.8,82.34,maize,Kaggle Benchmark
National Benchmark,Benchmark,67.0,35.0,22.0,6.39,23.31,63.25,108.76,maize,Kaggle Benchmark
National Benchmark,Benchmark,60.0,54.0,19.0,6.42,18.75,62.5,70.23,maize,Kaggle Benchmark
National Benchmark,Benchmark,83.0,58.0,23.0,6.38,19.74,59.66,65.51,maize,Kaggle Benchmark
National Benchmark,Benchmark,83.0,57.0,19.0,6.88,25.73,70.75,98.74,maize,Kaggle Benchmark
National Benchmark,Benchmark,40.0,72.0,77.0,7.49,17.02,16.99,88.55,chickpea,Kaggle Benchmark
National Benchmark,Benchmark,23.0,72.0,84.0,6.92,19.02,17.13,79.93,chickpea,Kaggle Benchmark
National Benchmark,Benchmark,39.0,58.0,85.0,6.0,17.89,15.41,68.55,chickpea,Kaggle Benchmark
National Benchmark,Benchmark,22.0,72.0,85.0,6.39,18.87,15.66,88.51,chickpea,Kaggle Benchmark
National Benchmark,Benchmark,36.0,67.0,77.0,7.15,18.37,19.56,79.26,chickpea,Kaggle Benchmark
National Benchmark,Benchmark,32.0,73.0,81.0,5.99,20.45,15.4,92.68,chickpea,Kaggle Benchmark
National Benchmark,Benchmark,58.0,70.0,84.0,6.23,20.65,16.61,74.66,chickpea,Kaggle Benchmark
National Benchmark,Benchmark,59.0,70.0,84.0,7.55,17.33,18.75,82.62,chickpea,Kaggle Benchmark
National Benchmark,Benchmark,42.0,62.0,75.0,7.01,18.18,18.9,81.85,chickpea,Kaggle Benchmark
National Benchmark,Benchmark,28.0,74.0,81.0,8.75,18.01,18.31,81.99,chickpea,Kaggle Benchmark
National Benchmark,Benchmark,58.0,66.0,79.0,8.72,20.99,19.33,93.55,chickpea,Kaggle Benchmark
National Benchmark,Benchmark,43.0,66.0,79.0,7.98,19.46,15.23,74.59,chickpea,Kaggle Benchmark
National Benchmark,Benchmark,58.0,63.0,81.0,6.52,19.81,14.7,78.97,chickpea,Kaggle Benchmark
National Benchmark,Benchmark,23.0,62.0,85.0,8.49,18.97,19.52,80.71,chickpea,Kaggle Benchmark
National Benchmark,Benchmark,27.0,62.0,77.0,6.58,18.2,14.71,70.18,chickpea,Kaggle Benchmark
National Benchmark,Benchmark,28.0,72.0,84.0,6.48,18.73,19.18,71.58,chickpea,Kaggle Benchmark
National Benchmark,Benchmark,50.0,56.0,76.0,7.97,21.0,19.86,73.51,chickpea,Kaggle Benchmark
National Benchmark,Benchmark,39.0,71.0,84.0,8.14,20.28,16.4,82.52,chickpea,Kaggle Benchmark
National Benchmark,Benchmark,25.0,78.0,76.0,7.23,17.48,15.76,66.97,chickpea,Kaggle Benchmark
National Benchmark,Benchmark,31.0,70.0,77.0,6.49,20.89,14.32,90.46,chickpea,Kaggle Benchmark
National Benchmark,Benchmark,26.0,80.0,83.0,7.53,17.08,16.15,71.31,chickpea,Kaggle Benchmark
National Benchmark,Benchmark,25.0,68.0,77.0,7.7,20.09,15.11,85.75,chickpea,Kaggle Benchmark
National Benchmark,Benchmark,31.0,78.0,76.0,8.52,17.57,15.0,89.31,chickpea,Kaggle Benchmark
National Benchmark,Benchmark,60.0,68.0,83.0,6.62,19.12,18.43,85.53,chickpea,Kaggle Benchmark
National Benchmark,Benchmark,59.0,62.0,83.0,8.1,18.58,19.22,72.95,chickpea,Kaggle Benchmark
National Benchmark,Benchmark,22.0,67.0,78.0,6.2,17.17,14.42,72.33,chickpea,Kaggle Benchmark
National Benchmark,Benchmark,36.0,65.0,80.0,6.05,18.29,16.68,74.87,chickpea,Kaggle Benchmark
National Benchmark,Benchmark,59.0,60.0,84.0,7.69,19.03,18.67,94.71,chickpea,Kaggle Benchmark
National Benchmark,Benchmark,54.0,77.0,85.0,7.83,17.14,17.07,83.75,chickpea,Kaggle Benchmark
National Benchmark,Benchmark,43.0,68.0,81.0,6.76,17.48,17.93,78.92,chickpea,Kaggle Benchmark
National Benchmark,Benchmark,28.0,76.0,82.0,6.65,20.57,14.26,83.76,chickpea,Kaggle Benchmark
National Benchmark,Benchmark,42.0,79.0,85.0,6.13,17.22,15.82,76.58,chickpea,Kaggle Benchmark
National Benchmark,Benchmark,32.0,60.0,83.0,8.83,19.69,19.44,91.76,chickpea,Kaggle Benchmark
National Benchmark,Benchmark,22.0,78.0,76.0,8.62,17.85,19.09,76.32,chickpea,Kaggle Benchmark
National Benchmark,Benchmark,31.0,79.0,75.0,8.2,18.82,16.11,89.73,chickpea,Kaggle Benchmark
National Benchmark,Benchmark,28.0,58.0,81.0,6.18,17.48,16.54,93.35,chickpea,Kaggle Benchmark
National Benchmark,Benchmark,57.0,58.0,77.0,7.98,18.73,17.58,81.2,chickpea,Kaggle Benchmark
National Benchmark,Benchmark,49.0,55.0,78.0,7.86,18.66,16.18,81.71,chickpea,Kaggle Benchmark
National Benchmark,Benchmark,46.0,76.0,77.0,6.97,18.24,19.69,83.75,chickpea,Kaggle Benchmark
National Benchmark,Benchmark,54.0,61.0,77.0,6.21,18.81,15.22,77.54,chickpea,Kaggle Benchmark
National Benchmark,Benchmark,38.0,60.0,76.0,8.87,18.65,17.81,77.93,chickpea,Kaggle Benchmark
National Benchmark,Benchmark,59.0,55.0,79.0,8.77,20.37,16.9,82.25,chickpea,Kaggle Benchmark
National Benchmark,Benchmark,36.0,76.0,75.0,8.74,18.38,16.64,70.52,chickpea,Kaggle Benchmark
National Benchmark,Benchmark,57.0,68.0,81.0,8.08,17.17,17.3,72.79,chickpea,Kaggle Benchmark
National Benchmark,Benchmark,35.0,66.0,81.0,6.14,19.37,15.77,85.25,chickpea,Kaggle Benchmark
National Benchmark,Benchmark,35.0,64.0,78.0,7.5,17.93,14.27,85.37,chickpea,Kaggle Benchmark
National Benchmark,Benchmark,52.0,60.0,79.0,8.38,19.45,18.23,75.63,chickpea,Kaggle Benchmark
National Benchmark,Benchmark,27.0,76.0,83.0,6.29,19.13,14.92,89.62,chickpea,Kaggle Benchmark
National Benchmark,Benchmark,57.0,60.0,84.0,6.59,19.1,17.26,75.49,chickpea,Kaggle Benchmark
National Benchmark,Benchmark,52.0,68.0,78.0,6.9,17.49,16.96,86.05,chickpea,Kaggle Benchmark
National Benchmark,Benchmark,43.0,79.0,79.0,7.81,19.41,18.98,80.25,chickpea,Kaggle Benchmark
